Date,GOOGL,GE,CAT,AVGO,MSFT,RTX,DIS,NFLX,V,SCHW,ABBV,JPM,NVDA,AXP,WMT,JNJ,INTC,ORCL,PEP,IBM,CRM,BLK,BAC,META,CSCO,PM,KO,HD,AAPL,T,ABT,TMO,MA,CVX,COST,LLY,BRK-B,QCOM,UNH,XOM,NOW,MCD,ISRG,TMUS,NEE,TSLA,PG,MRK,AMZN,AMD
2025-02-10,0.0,1,0.0,0.0,0.0,1,0,0,0.0,1,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1,1,0,0.0,0.0,0.0,1,1,0.0,0,1,1,1,0.0,1,0,0,0.0,0.0,0.0,1
2025-02-11,0.0,1,0.0,0.0,0.0,1,0,1,0.0,1,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1,1,0,0.0,0.0,0.0,1,1,0.0,0,1,1,1,0.0,1,0,0,0.0,0.0,0.0,1
2025-02-12,0.0,1,0.0,0.0,0.0,1,0,1,0.0,0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1,1,0,0.0,0.0,0.0,1,1,0.0,0,1,1,1,0.0,1,0,0,0.0,0.0,0.0,1
2025-02-13,0.0,1,0.0,0.0,0.0,1,0,1,0.0,0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1,1,1,0.0,0.0,0.0,1,1,0.0,0,1,0,1,0.0,1,1,0,0.0,0.0,0.0,1
2025-02-14,0.0,1,0.0,0.0,0.0,1,0,0,0.0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1,1,1,0.0,0.0,0.0,1,1,0.0,0,1,0,1,0.0,1,1,0,0.0,0.0,0.0,1
2025-02-18,0.0,1,0.0,0.0,0.0,1,0,0,0.0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1,1,1,0.0,0.0,0.0,1,1,0.0,0,1,0,1,0.0,1,1,0,0.0,0.0,0.0,1
2025-02-19,0.0,1,0.0,0.0,0.0,1,0,0,0.0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1,1,1,0.0,0.0,0.0,1,1,0.0,0,1,0,1,0.0,1,1,0,0.0,0.0,0.0,1
2025-02-20,0.0,1,0.0,0.0,0.0,1,0,0,0.0,0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1,1,1,0.0,0.0,0.0,1,1,0.0,0,1,0,1,0.0,1,1,0,0.0,0.0,0.0,1
2025-02-21,0.0,1,0.0,0.0,0.0,1,0,0,0.0,0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1,1,1,0.0,0.0,0.0,1,1,0.0,1,1,0,1,0.0,1,1,0,0.0,0.0,0.0,1
2025-02-24,0.0,1,0.0,0.0,0.0,1,0,0,0.0,0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1,1,1,0.0,0.0,0.0,1,1,0.0,1,1,1,1,0.0,1,1,0,0.0,0.0,0.0,1
2025-02-25,0.0,1,0.0,0.0,0.0,1,0,0,0.0,0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1,1,1,0.0,0.0,0.0,1,1,0.0,1,1,1,1,0.0,1,0,0,0.0,0.0,0.0,1
2025-02-26,0.0,1,0.0,0.0,0.0,1,0,0,0.0,0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1,1,1,0.0,0.0,0.0,1,1,0.0,1,1,1,1,0.0,1,0,1,0.0,0.0,0.0,1
2025-02-27,0.0,1,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1,1,1,0.0,0.0,0.0,1,1,0.0,1,1,1,1,0.0,1,0,1,0.0,0.0,0.0,1
2025-02-28,0.0,1,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1,1,1,0.0,0.0,0.0,1,1,0.0,1,1,1,1,0.0,1,0,1,0.0,0.0,0.0,1
2025-03-03,0.0,1,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1,1,1,0.0,0.0,0.0,1,1,0.0,1,1,1,1,0.0,1,1,1,0.0,0.0,0.0,1
2025-03-04,0.0,1,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1,1,1,0.0,0.0,0.0,1,1,0.0,1,1,1,1,0.0,1,1,1,0.0,0.0,0.0,1
2025-03-05,0.0,1,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1,1,1,0.0,0.0,0.0,1,1,0.0,1,1,1,1,0.0,1,1,1,0.0,0.0,0.0,1
2025-03-06,0.0,1,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1,1,1,0.0,0.0,0.0,0,1,0.0,1,1,1,1,0.0,1,1,1,0.0,0.0,0.0,1
2025-03-07,0.0,1,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1,1,1,0.0,0.0,0.0,0,1,0.0,1,1,1,1,0.0,1,1,1,0.0,0.0,0.0,1
2025-03-10,0.0,1,0.0,0.0,0.0,1,0,0,0.0,1,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1,1,1,0.0,0.0,0.0,1,1,0.0,1,1,1,1,0.0,1,1,1,0.0,0.0,0.0,0
2025-03-11,0.0,1,0.0,0.0,0.0,1,0,0,0.0,1,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1,1,1,0.0,0.0,0.0,1,1,0.0,1,1,1,1,0.0,1,1,1,0.0,0.0,0.0,1
2025-03-12,0.0,1,0.0,0.0,0.0,1,0,0,0.0,1,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1,1,1,0.0,0.0,0.0,1,1,0.0,1,1,1,1,0.0,1,1,1,0.0,0.0,0.0,0
2025-03-13,1.0,1,1.0,1.0,1.0,1,0,0,0.0,1,0,1.0,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,1,1,1.0,1.0,0.0,1,1,1.0,1,1,1,1,1.0,1,1,1,0.0,1.0,1.0,1
2025-03-14,1.0,1,1.0,1.0,1.0,1,0,0,0.0,1,0,1.0,1,1.0,1.0,1.0,1.0,1.0,0.0,1,0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,1,1,1.0,1.0,0.0,1,1,1.0,1,1,1,1,1.0,1,1,1,0.0,1.0,1.0,1
2025-03-17,1.0,1,1.0,1.0,1.0,1,0,0,0.0,1,0,1.0,1,1.0,1.0,1.0,1.0,1.0,0.0,1,0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,1,1,1.0,1.0,0.0,1,1,1.0,1,1,1,1,1.0,1,1,1,0.0,1.0,1.0,0
2025-03-18,1.0,1,1.0,1.0,1.0,1,0,0,0.0,1,0,1.0,1,1.0,1.0,1.0,1.0,1.0,0.0,1,0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,1,1,1.0,1.0,0.0,1,1,1.0,1,1,1,1,1.0,1,1,1,0.0,1.0,1.0,1
2025-03-19,1.0,1,1.0,1.0,1.0,1,0,0,1.0,0,0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,1,1,1,1,1.0,1,1,1,0.0,1.0,1.0,1
2025-03-20,1.0,1,1.0,1.0,1.0,1,0,0,1.0,1,0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,1,1,1,1,1.0,1,1,1,0.0,1.0,1.0,0
2025-03-21,1.0,1,1.0,1.0,1.0,1,0,0,1.0,0,0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,0,1,1,1.0,1.0,1.0,1,1,1.0,0,1,1,1,1.0,1,1,1,0.0,1.0,1.0,1
2025-03-24,1.0,1,1.0,1.0,1.0,1,0,0,0.0,0,0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,0,1,1,1.0,1.0,1.0,1,1,1.0,0,1,1,1,1.0,1,1,1,0.0,1.0,1.0,1
2025-03-25,1.0,1,1.0,1.0,1.0,1,0,0,0.0,0,0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,0,1,1,1.0,1.0,1.0,1,1,1.0,0,1,1,1,0.0,1,1,1,0.0,1.0,1.0,1
2025-03-26,1.0,1,1.0,1.0,1.0,1,0,0,0.0,0,0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,0,1,1,1.0,1.0,1.0,1,1,1.0,0,1,1,1,1.0,1,1,1,0.0,1.0,1.0,1
2025-03-27,1.0,1,1.0,1.0,1.0,1,0,0,0.0,0,0,1.0,0,1.0,1.0,1.0,1.0,1.0,0.0,1,0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,0,1,1,1.0,1.0,1.0,1,1,1.0,0,1,1,1,1.0,1,1,1,0.0,1.0,1.0,1
2025-03-28,1.0,1,1.0,1.0,1.0,1,0,0,1.0,1,0,1.0,1,1.0,1.0,1.0,1.0,1.0,0.0,1,0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,0,1,1,1.0,1.0,1.0,1,1,1.0,0,1,1,1,1.0,1,1,1,0.0,1.0,1.0,1
2025-03-31,1.0,1,1.0,1.0,1.0,1,0,0,1.0,0,0,1.0,1,1.0,1.0,1.0,1.0,1.0,0.0,1,0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,0,1,1,1.0,1.0,1.0,1,1,1.0,0,1,1,1,0.0,1,1,1,0.0,1.0,1.0,1
2025-04-01,1.0,1,1.0,1.0,1.0,1,0,0,0.0,0,0,1.0,1,1.0,1.0,1.0,1.0,1.0,0.0,1,0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,0,1,1,1,0.0,1,1,1,0.0,1.0,1.0,1
2025-04-02,1.0,1,1.0,1.0,1.0,1,0,0,0.0,0,0,1.0,1,1.0,1.0,1.0,1.0,1.0,0.0,1,0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,0,1,1,1,0.0,1,1,1,1.0,1.0,1.0,0
2025-04-03,1.0,1,1.0,1.0,1.0,1,1,0,0.0,0,0,1.0,1,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1.0,1.0,0.0,1.0,1,1,1.0,1.0,1,1,1,1.0,0.0,1.0,1,1,1.0,0,1,1,1,0.0,1,1,1,0.0,1.0,0.0,1
2025-04-04,1.0,1,1.0,1.0,1.0,1,1,1,1.0,1,0,1.0,1,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1.0,1.0,0.0,1.0,1,1,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,0,1,1,1,1.0,1,1,1,1.0,1.0,0.0,1
2025-04-07,1.0,1,1.0,1.0,1.0,1,1,1,1.0,0,0,1.0,1,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1.0,1.0,0.0,1.0,1,1,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,0,1,1,1,0.0,1,1,0,1.0,1.0,0.0,0
2025-04-08,1.0,1,1.0,1.0,1.0,1,1,1,1.0,1,0,1.0,1,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1.0,1.0,0.0,1.0,1,1,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,0,1,1,1,1.0,1,1,0,1.0,1.0,0.0,0
2025-04-09,1.0,1,1.0,1.0,1.0,1,1,1,0.0,0,0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1.0,1.0,0.0,1.0,1,1,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,0,1,1,1,0.0,1,1,0,1.0,1.0,0.0,0
2025-04-10,1.0,1,1.0,1.0,1.0,1,1,1,0.0,0,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,0.0,1.0,1,1,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,0,1,1,1,0.0,1,1,0,1.0,1.0,0.0,0
2025-04-11,1.0,1,1.0,1.0,1.0,1,1,1,0.0,0,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,0,1,1,1,0.0,1,1,0,1.0,1.0,0.0,0
2025-04-14,1.0,1,1.0,1.0,1.0,1,1,1,1.0,0,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,0,1,1,1,0.0,1,1,0,1.0,1.0,0.0,0
2025-04-15,1.0,1,1.0,1.0,1.0,1,1,1,1.0,0,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,0,1,1,1,0.0,1,1,0,1.0,1.0,0.0,0
2025-04-16,1.0,1,1.0,1.0,1.0,1,1,1,1.0,0,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,0,1,1,1,0.0,1,1,0,1.0,1.0,0.0,0
2025-04-17,1.0,1,1.0,1.0,1.0,1,1,1,1.0,1,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,1,1,1,1,0.0,1,1,0,1.0,1.0,0.0,0
2025-04-21,1.0,1,1.0,1.0,1.0,1,1,1,1.0,1,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,1,1,1,1,0.0,1,1,0,1.0,1.0,0.0,0
2025-04-22,1.0,1,1.0,1.0,1.0,1,1,1,1.0,1,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,1,1,1,1,0.0,1,1,0,1.0,1.0,0.0,0
2025-04-23,1.0,1,1.0,1.0,1.0,1,1,1,1.0,1,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,1,1,1,1,1.0,1,1,0,1.0,1.0,0.0,0
2025-04-24,1.0,1,1.0,1.0,1.0,1,1,1,1.0,1,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,1,1,1,1,0.0,1,1,0,1.0,1.0,0.0,0
2025-04-25,1.0,1,1.0,1.0,1.0,1,1,1,1.0,1,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,1,1,1,1,0.0,1,1,1,1.0,1.0,0.0,0
2025-04-28,1.0,1,1.0,1.0,1.0,1,1,1,1.0,1,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,1,1,0,1,0.0,1,1,0,1.0,1.0,0.0,0
2025-04-29,1.0,1,1.0,1.0,1.0,1,1,1,1.0,1,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,1,1,0,1,0.0,1,1,1,1.0,1.0,0.0,0
2025-04-30,1.0,1,1.0,1.0,1.0,1,1,1,1.0,1,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,1,1,0,1,0.0,1,1,1,1.0,1.0,0.0,0
2025-05-01,1.0,1,1.0,1.0,1.0,1,1,1,1.0,1,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,1,1,0,1,0.0,1,1,1,1.0,1.0,0.0,0
2025-05-02,1.0,1,1.0,1.0,1.0,1,1,1,1.0,1,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,1,1,0,1,0.0,1,1,1,1.0,1.0,0.0,0
2025-05-05,1.0,1,1.0,1.0,1.0,1,1,1,1.0,1,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,1,1,0,1,0.0,1,1,1,1.0,1.0,0.0,0
2025-05-06,1.0,1,1.0,1.0,1.0,1,1,0,1.0,1,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,1,1,1.0,1.0,1.0,1,1,1.0,1,1,0,1,0.0,1,1,1,1.0,1.0,0.0,0
